keyword,answer
"wheat, gehu #1",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #2",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #3",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #4","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #5",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #6",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #7",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #8","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #9",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #10",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #11",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #12","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #13",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #14",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #15",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #16","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #17",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #18",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #19",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #20","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #21",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #22",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #23",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #24","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #25",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #26",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #27",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #28","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #29",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #30",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #31",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #32","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #33",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #34",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #35",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #36","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #37",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #38",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #39",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #40","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #41",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #42",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #43",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #44","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #45",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #46",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #47",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #48","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #49",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #50",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #51",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #52","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #53",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #54",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #55",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #56","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #57",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #58",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #59",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #60","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #61",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #62",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #63",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #64","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #65",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #66",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #67",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #68","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #69",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #70",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #71",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #72","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #73",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #74",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #75",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #76","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #77",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #78",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #79",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #80","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #81",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #82",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #83",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #84","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #85",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #86",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #87",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #88","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #89",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #90",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #91",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #92","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #93",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #94",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #95",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #96","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #97",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #98",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #99",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #100","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #101",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #102",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #103",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #104","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #105",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #106",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #107",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #108","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #109",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #110",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #111",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #112","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #113",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #114",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #115",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #116","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #117",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #118",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #119",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #120","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #121",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #122",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #123",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #124","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #125",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #126",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #127",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #128","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #129",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #130",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #131",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #132","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #133",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #134",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #135",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #136","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #137",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #138",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #139",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #140","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #141",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #142",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #143",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #144","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #145",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #146",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #147",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #148","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #149",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #150",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #151",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #152","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #153",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #154",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #155",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #156","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #157",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #158",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #159",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #160","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #161",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #162",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #163",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #164","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #165",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #166",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #167",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #168","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #169",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #170",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #171",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #172","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #173",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #174",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #175",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #176","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #177",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #178",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #179",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #180","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #181",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #182",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #183",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #184","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #185",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #186",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #187",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #188","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #189",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #190",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #191",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #192","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #193",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #194",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #195",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #196","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #197",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #198",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #199",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #200","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #201",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #202",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #203",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #204","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #205",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #206",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #207",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #208","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #209",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #210",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #211",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #212","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #213",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #214",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #215",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #216","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #217",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #218",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #219",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #220","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #221",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #222",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #223",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #224","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #225",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #226",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #227",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #228","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #229",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #230",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #231",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #232","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #233",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #234",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #235",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #236","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #237",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #238",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #239",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #240","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #241",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #242",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #243",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #244","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #245",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #246",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #247",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #248","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #249",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #250",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
